State,District,Temperature,Rainfall,Humidity,Soil_Quality,Fertilizer_Usage,Irrigation,Yield
West Bengal,District B,27.3,156.8,70.3,10,8,10,95
Bihar,District B,28.7,142.4,62.5,6,10,7,95
West Bengal,District C,28.1,134.4,71.1,10,10,10,95
Punjab,District B,31.8,131.8,79,8,9,6,95
Tamil Nadu,District C,35.7,142.3,71.1,9,6,8,95
Haryana,District A,28.1,115.4,84.8,9,10,6,95
Punjab,District B,30.8,179.2,60.2,6,6,10,95
Punjab,District C,27.9,183.2,73.5,6,7,9,95
Tamil Nadu,District E,31.2,113,72.3,5,7,9,95
Tamil Nadu,District D,27.7,102.3,66.1,9,8,5,95
Bihar,District E,24.9,184.8,81.6,7,8,9,95
Bihar,District A,33.3,92.1,78.4,9,9,9,95
Haryana,District A,23.9,138.4,76.9,8,6,9,95
West Bengal,District A,30.4,125.8,64.2,8,9,10,95
Uttar Pradesh,District A,32.7,101.7,63.3,7,9,8,95
Andhra Pradesh,District B,23.9,177.8,83.9,8,6,6,95
Haryana,District B,25.9,82.7,74.7,6,10,8,95
Punjab,District C,34.4,175.7,69.3,6,5,8,95
Maharashtra,District A,28.8,162.7,60.5,5,5,8,95
Andhra Pradesh,District B,25.6,160.6,84.5,7,10,5,95
Andhra Pradesh,District B,21,153.3,64.9,7,5,10,95
Tamil Nadu,District C,20.6,140.9,76.7,6,6,7,95
Maharashtra,District C,32.3,167.6,79.6,5,7,7,95
Bihar,District A,26.4,160,80.1,7,10,5,95
Andhra Pradesh,District A,35.3,132.2,74.6,6,6,9,95
Uttar Pradesh,District D,34.4,117.3,65.9,5,6,10,95
Maharashtra,District B,27.9,169.9,72.7,9,10,6,95
Punjab,District D,28,148.7,84.9,5,5,5,95
Punjab,District C,23.2,182.4,76.8,9,8,7,95
Punjab,District B,22.9,111.5,75.5,8,7,10,95
Uttar Pradesh,District E,31.9,91,80.4,8,6,10,95
Haryana,District D,30.4,182.1,79.5,9,5,5,95
Andhra Pradesh,District D,32.5,161,69.1,5,7,10,95
West Bengal,District D,35.5,91.8,83.2,8,8,7,95
Tamil Nadu,District D,35,159,66.7,10,6,10,95
Haryana,District A,33.7,137.4,76.6,10,8,8,95
Punjab,District B,31.7,166.9,65.5,10,9,9,95
Tamil Nadu,District C,33.7,194.4,77.7,6,6,8,95
Uttar Pradesh,District C,21.6,189.5,81.3,8,7,9,95
West Bengal,District D,30.8,166.9,61.7,8,9,7,95
Tamil Nadu,District E,30.7,193.2,68.5,5,5,8,95
Punjab,District B,34.3,93.2,73.3,8,10,9,95
Bihar,District B,34.8,142.6,70.8,5,5,8,95
Uttar Pradesh,District B,27.8,88,61.3,10,6,8,95
Andhra Pradesh,District D,30.3,81.1,77.3,10,5,9,95
Haryana,District B,25.6,111.9,67.9,5,7,5,95
Andhra Pradesh,District D,22.6,117.4,69.8,9,8,9,95
Uttar Pradesh,District E,31.2,155.6,66.1,9,9,7,95
Maharashtra,District B,31.6,154.1,80.3,10,10,8,95
Andhra Pradesh,District E,24.6,197.1,66.9,5,8,7,95
Haryana,District E,29.4,163.8,65.5,8,7,6,95
Uttar Pradesh,District E,21.7,100.6,64.3,10,6,9,95
Bihar,District E,31.2,123.7,61.8,5,5,10,95
Bihar,District B,22.6,176.8,78.5,7,8,8,95
Haryana,District D,31.8,138.4,80.4,9,7,5,95
Maharashtra,District B,20.8,156.9,81.5,8,6,9,95
Tamil Nadu,District E,28.9,107.4,73.3,8,10,5,95
Tamil Nadu,District C,30.7,163.9,76.8,5,7,6,95
Tamil Nadu,District D,22.5,98.3,63.6,10,9,7,95
Punjab,District E,30.6,100.6,62.9,9,6,5,95
Bihar,District A,32.9,184.7,83.9,9,7,6,95
Tamil Nadu,District A,22.6,157.3,72.6,6,6,8,95
West Bengal,District A,33,82.1,70.2,10,8,8,95
Karnataka,District E,28.9,134.9,66.2,6,6,10,95
Uttar Pradesh,District A,22.7,154,62,10,8,9,95
Bihar,District D,32.1,102.5,66.1,9,5,9,95
Karnataka,District C,20.4,80,75.7,8,10,6,95
Uttar Pradesh,District A,25.6,179.6,80.5,8,5,8,95
Bihar,District B,21.7,119.6,85,9,6,7,95
Karnataka,District A,24.2,174.4,70.5,10,10,6,95
Haryana,District A,34.5,105.8,83.3,8,8,6,95
Tamil Nadu,District D,33.5,90.7,61.5,10,8,6,95
Bihar,District B,20.4,134.9,70.6,9,8,8,95
West Bengal,District E,32.3,157.6,82.4,7,7,10,95
West Bengal,District E,27.1,136.5,71.4,5,10,5,95
Tamil Nadu,District E,23.7,85.8,82.2,10,9,7,95
Bihar,District D,22.5,173.1,79.8,10,5,5,95
Andhra Pradesh,District A,26.6,96.1,71.5,9,5,6,95
Uttar Pradesh,District C,26.4,149.4,75.9,10,8,10,95
Tamil Nadu,District D,25.6,109.6,79.6,7,7,8,95
Bihar,District D,30.9,171.3,84.3,6,10,10,95
Maharashtra,District B,29.2,158.7,62.4,9,10,8,95
Maharashtra,District D,34.6,107.4,64.4,8,5,7,95
Haryana,District C,20.4,91.6,84.9,10,6,10,95
Andhra Pradesh,District A,21.3,196.1,84.2,6,8,5,95
Karnataka,District E,31.7,169,69,6,6,10,95
Haryana,District B,26.1,163.2,74.2,7,5,6,95
Uttar Pradesh,District E,29.8,196.9,63.8,8,8,7,95
Maharashtra,District A,25.1,130.3,75.5,6,9,8,95
Maharashtra,District E,26.2,170.6,63.1,7,7,8,95
Punjab,District C,22.9,93.1,82.7,10,5,7,95
Punjab,District B,23.2,175.8,74.4,8,9,5,95
Maharashtra,District C,22.2,148.1,69.2,9,8,9,95
Tamil Nadu,District D,31.1,118.7,60.3,7,8,5,95
Karnataka,District E,34.4,89.1,74.8,6,7,9,95
Uttar Pradesh,District A,31.3,145.3,74.5,9,6,10,95
Haryana,District A,29,103.2,80.6,7,10,5,95
Punjab,District B,25.1,108.7,71.9,9,5,7,95
Punjab,District A,32.2,141.5,61.9,8,5,7,95
Punjab,District D,22.3,143,62.2,8,9,8,95
Haryana,District E,30.1,119.2,65,10,10,9,95
Maharashtra,District B,33.6,140.2,60.6,10,7,10,95
Haryana,District C,25.7,100.5,69.8,9,5,10,95
Andhra Pradesh,District D,21.3,166.1,71.4,8,10,9,95
Uttar Pradesh,District B,31.6,171.8,60.3,10,8,10,95
Haryana,District C,30.8,86.5,66.2,5,7,8,95
Karnataka,District A,22.8,129.8,84.8,10,6,5,95
Tamil Nadu,District C,24.7,186.9,67.1,6,7,7,95
Karnataka,District B,23.2,166.5,70.3,10,8,5,95
Tamil Nadu,District C,34.5,131.1,80.3,8,6,8,95
Uttar Pradesh,District B,33.1,110.5,64.2,5,9,7,95
Karnataka,District E,27.5,174,79.7,8,6,7,95
Andhra Pradesh,District A,35,155.9,82.9,9,10,7,95
Tamil Nadu,District D,34,124,72.3,10,10,9,95
Karnataka,District D,26.9,169.7,81,10,6,5,95
Uttar Pradesh,District A,31.3,120.2,69.1,9,6,10,95
Bihar,District E,22.4,123.1,72.3,5,5,9,95
Tamil Nadu,District E,21.3,90.6,71.8,9,8,9,95
West Bengal,District A,26,87.8,73.7,9,9,7,95
Maharashtra,District E,35.5,131.6,73.8,6,5,10,95
Punjab,District A,34.4,109.9,83.4,8,6,6,95
Uttar Pradesh,District C,20.9,166.8,63.3,10,10,9,95
Karnataka,District B,28.7,198.5,72.3,7,9,9,95
West Bengal,District E,24.6,125.7,68.6,7,7,5,95
Maharashtra,District C,23.4,133,70.4,8,9,10,95
Uttar Pradesh,District D,20,109.6,82.3,7,8,10,95
Punjab,District E,24.7,170.8,75.3,9,10,9,95
West Bengal,District A,32.4,131.2,70.2,7,9,6,95
Maharashtra,District D,31.7,175.1,66.5,8,5,6,95
Haryana,District E,34.6,158.6,66.7,8,10,7,95
Maharashtra,District D,25.6,87.3,77.7,10,6,8,95
Tamil Nadu,District B,21.8,187.3,62.5,5,5,9,95
Tamil Nadu,District C,24.6,106.1,81.1,7,6,5,95
Punjab,District C,34.8,117,79.9,9,6,9,95
Tamil Nadu,District B,29.6,135.9,77.7,8,6,9,95
Bihar,District B,31.5,117.2,61,10,6,8,95
Uttar Pradesh,District C,27.8,91.6,82.9,6,9,9,95
Maharashtra,District B,29.3,166.1,66.8,7,7,5,95
Haryana,District D,23.2,154.9,62.8,9,10,5,95
West Bengal,District A,35.9,155.5,70.3,8,5,10,95
Karnataka,District A,24.5,163.6,67,7,10,6,95
Karnataka,District B,35,153.1,69.4,10,9,5,95
Karnataka,District A,23.1,174.1,65.3,5,5,5,95
Uttar Pradesh,District D,34.6,118.5,83.4,10,8,9,95
Uttar Pradesh,District B,20.8,96.1,64.6,6,7,5,95
Maharashtra,District D,27.4,109.7,65,10,7,7,95
West Bengal,District C,24.9,144.1,76.6,5,7,5,95
Karnataka,District A,20.8,179.5,63.3,9,5,7,95
Tamil Nadu,District D,32.9,117.4,77,7,8,9,95
Andhra Pradesh,District E,31.1,189.5,65.6,8,7,5,95
Tamil Nadu,District D,25.6,81,68.4,6,6,9,95
Bihar,District B,35.7,150.1,65.2,10,6,6,95
Andhra Pradesh,District E,22.7,152.1,68.4,8,5,9,95
Punjab,District B,24,187.9,69.2,5,10,9,95
Haryana,District E,26.1,96.9,62.4,5,8,10,95
Uttar Pradesh,District B,26.3,168.4,76.5,10,6,9,95
Bihar,District B,21.5,81.1,79.4,7,8,8,95
Haryana,District B,31.6,121.9,64.7,8,8,6,95
Maharashtra,District E,27,167.3,78.9,8,9,10,95
Bihar,District D,26,120.6,80.1,9,6,7,95
Haryana,District E,31,94.8,76.9,7,8,7,95
Karnataka,District C,36,134.6,64.8,8,5,9,95
Punjab,District C,26.9,153.1,76.7,9,10,6,95
Maharashtra,District D,23.8,100.8,77.2,8,7,5,95
Punjab,District E,29,127.9,73.8,8,9,5,95
Andhra Pradesh,District D,30.2,149.2,67,8,6,7,95
Maharashtra,District C,24.5,83.2,79.5,10,10,5,95
Punjab,District D,32.9,168.9,70.7,9,5,9,95
Karnataka,District A,28.6,162.2,65.9,8,5,9,95
Haryana,District A,21.1,87.6,84.9,9,10,6,95
Maharashtra,District C,28.1,175.4,65.7,7,6,7,95
Uttar Pradesh,District C,35.2,84.4,80.8,5,7,6,95
Uttar Pradesh,District C,33.6,163.7,75.8,6,8,9,95
Bihar,District B,21.5,119.5,61.7,6,6,6,95
Tamil Nadu,District A,28.8,117.3,81.6,6,8,6,95
Tamil Nadu,District D,22.9,191.9,66.1,8,6,8,95
Punjab,District D,23.1,198.8,69.5,9,9,10,95
Andhra Pradesh,District E,29.4,127.7,68.1,8,9,8,95
Haryana,District E,30.3,114.2,65.9,10,10,5,95
Tamil Nadu,District C,32.6,92.9,66.2,8,9,6,95
Maharashtra,District D,22.8,84.9,71.3,7,10,7,95
Maharashtra,District A,23.1,154.7,73.1,10,10,8,95
Karnataka,District D,23.1,196.8,78.3,6,6,6,95
Bihar,District B,21.3,108.4,78.2,8,5,6,95
Bihar,District C,33.4,110.8,80.3,7,10,7,95
Andhra Pradesh,District C,33.2,159.4,70.7,5,5,9,95
Andhra Pradesh,District E,30.1,123.4,82.5,8,7,8,95
Haryana,District E,33,166.6,77.1,9,6,7,95
Andhra Pradesh,District C,20.8,117.4,72.5,6,10,7,95
Punjab,District C,24.8,90.7,75.4,5,7,7,95
Haryana,District E,24.9,135.7,84.5,6,6,5,95
Haryana,District A,28.9,93.3,72.9,7,8,5,95
West Bengal,District C,36,173,67.7,7,6,8,95
Haryana,District B,33.7,98.7,71.3,6,8,10,95
Haryana,District C,35.1,158.6,70.6,8,6,6,95
Karnataka,District E,33.6,102.1,60.9,7,9,6,95
Karnataka,District B,30.1,166.9,77.1,9,10,10,95
Tamil Nadu,District C,33.1,102.7,83.6,8,6,9,95
Punjab,District A,27.8,110.6,72,5,9,7,95
Haryana,District D,28,125.8,71.8,9,5,8,95
Punjab,District C,34.9,160.9,76.9,10,8,10,95
Andhra Pradesh,District C,22.8,81.7,63,10,8,6,95
West Bengal,District A,32.9,80.2,79,7,7,8,95
Haryana,District D,27.5,107.3,72.2,6,5,8,95
Bihar,District D,30.3,111.6,83.2,10,7,6,95
Punjab,District B,31.7,191.2,75.8,8,6,5,95
Andhra Pradesh,District C,32.8,122.1,77.2,5,5,9,95
Tamil Nadu,District E,34.3,192.3,68.8,10,6,5,95
Andhra Pradesh,District B,26,172,63.7,7,8,7,95
West Bengal,District A,21.1,157.6,64.7,5,10,8,95
Tamil Nadu,District D,25.8,129.8,61.4,8,10,5,95
Haryana,District C,27.6,81.1,64.8,5,5,5,95
Punjab,District A,35.9,193.4,61.3,5,8,6,95
Bihar,District D,34.1,92.9,60.4,10,10,7,95
West Bengal,District E,25.2,179.2,72.6,10,5,6,95
Karnataka,District B,28.7,190.5,66.8,9,9,6,95
Maharashtra,District D,34.4,159.5,79.5,9,8,5,95
Tamil Nadu,District B,33.9,188.7,84.3,5,7,10,95
Haryana,District B,21.5,161.6,72.9,6,9,7,95
Karnataka,District A,31.9,199.9,63.1,10,8,6,95
Uttar Pradesh,District D,27.2,138.9,63.8,7,9,10,95
Uttar Pradesh,District C,30.3,163.9,60.2,9,7,6,95
Punjab,District B,33.9,180.5,75.2,8,7,10,95
Punjab,District E,27.5,184.5,72.5,8,8,9,95
Uttar Pradesh,District D,26.9,117,72.1,5,8,7,95
Tamil Nadu,District D,20.9,95.9,63,6,9,9,95
West Bengal,District D,33.8,157,77.3,8,7,5,95
West Bengal,District A,21.8,162.4,80.3,10,8,9,95
Maharashtra,District B,28,161.2,63.1,10,10,8,95
Andhra Pradesh,District D,21,169.3,62.5,6,10,9,95
Andhra Pradesh,District E,26,149.2,79.8,7,8,10,95
Karnataka,District B,21.8,105.8,82.2,6,9,6,95
Maharashtra,District C,21,139.9,84.3,8,10,10,95
Maharashtra,District B,29.9,136.7,64.2,6,6,9,95
Andhra Pradesh,District D,28,121.8,62.2,7,6,6,95
Andhra Pradesh,District E,20.8,110.2,76.3,8,5,7,95
Punjab,District B,20.5,159.4,72.4,7,8,9,95
Andhra Pradesh,District A,25.5,152.5,63.1,5,8,5,95
Bihar,District B,34.8,187,67.6,8,9,6,95
Andhra Pradesh,District E,30.3,186.6,66.9,5,7,10,95
Punjab,District E,24.6,193.7,63,5,5,6,95
Bihar,District A,26.6,189.9,70.2,10,9,5,95
Tamil Nadu,District B,24.5,182.7,69.3,6,9,8,95
Karnataka,District E,28.7,140.7,66.1,6,7,6,95
Haryana,District D,34.5,83.8,83,7,6,9,95
Punjab,District E,21.3,144.7,81,7,10,9,95
Karnataka,District C,25.6,108,81.4,7,10,10,95
Haryana,District A,24.3,195.8,78.9,7,10,8,95
Tamil Nadu,District B,31.8,105.7,65.9,8,6,7,95
Haryana,District D,21.2,87.8,78.7,7,9,7,95
Karnataka,District D,34.3,159.8,77,7,8,7,95
Maharashtra,District C,32.6,92.5,81.2,9,9,7,95
Punjab,District B,28.4,128.3,63.5,5,5,7,95
Punjab,District D,32.8,156.6,75.5,9,9,5,95
Karnataka,District B,21.1,177.1,72.4,10,6,7,95
Uttar Pradesh,District C,22.7,81.2,69.9,5,10,6,95
Maharashtra,District D,22.9,193.3,64.8,7,6,5,95
Punjab,District B,31.2,138.7,64.1,5,9,8,95
Andhra Pradesh,District E,26.6,153.8,83.5,10,6,10,95
Karnataka,District B,26.4,143.5,60,8,8,8,95
Karnataka,District E,28.8,128.3,61.1,10,7,10,95
West Bengal,District A,35.9,138.5,60.8,8,8,9,95
Bihar,District C,23.3,176,64.2,5,5,7,95
Karnataka,District A,29.3,118.2,82.2,5,8,10,95
Uttar Pradesh,District D,25.8,139.2,64.1,10,10,6,95
Maharashtra,District A,27.8,193.2,77.8,7,6,5,95
Uttar Pradesh,District C,20.8,182.7,74.8,10,7,8,95
Karnataka,District A,22.3,143.8,84.4,5,5,7,95
Uttar Pradesh,District D,35.6,176.4,70.2,8,5,9,95
Tamil Nadu,District D,21.4,87.5,68.1,7,6,7,95
Karnataka,District D,27,94.3,76.9,10,10,6,95
Karnataka,District D,21.3,176.5,72.5,6,6,5,95
Bihar,District C,34.9,125,72.3,10,9,9,95
Haryana,District A,20.8,85.3,83.4,7,5,7,95
Bihar,District E,21.2,96.9,60.8,5,10,9,95
Maharashtra,District C,34,193.7,68.8,8,7,8,95
Uttar Pradesh,District D,34.3,103,61.4,5,8,8,95
Andhra Pradesh,District C,25.8,199.7,71.9,9,10,8,95
Punjab,District E,23.9,103.6,81.5,9,6,8,95
Bihar,District D,26.7,141.7,62.8,7,7,10,95
Tamil Nadu,District E,32.6,99.2,64,10,5,9,95
Tamil Nadu,District E,28.7,199.2,82.3,6,8,10,95
Tamil Nadu,District D,31.2,93.8,76.7,8,6,10,95
Andhra Pradesh,District B,26.8,117.9,76.9,5,9,9,95
Andhra Pradesh,District E,28.8,179,68.7,8,9,6,95
Andhra Pradesh,District C,22.8,83.5,78.9,10,6,9,95
Maharashtra,District B,23,185.8,60.9,6,8,9,95
Tamil Nadu,District C,25.8,197.6,62.5,9,10,10,95
Punjab,District D,32,115.7,69.2,5,9,5,95
Karnataka,District E,27.4,171.7,77.7,8,10,8,95
Andhra Pradesh,District A,30.7,137.6,63.3,5,7,10,95
Haryana,District C,33.9,142.6,75.3,5,9,5,95
Andhra Pradesh,District E,31.5,165.5,61.6,10,6,8,95
West Bengal,District D,34.8,160.5,72.8,9,6,5,95
Karnataka,District E,29.8,119.3,74.7,8,8,8,95
Haryana,District C,24.9,128,67.3,8,10,6,95
Uttar Pradesh,District A,27,118.3,65.9,8,6,6,95
Karnataka,District B,21.3,194.4,83.6,7,5,6,95
Andhra Pradesh,District C,29.8,103.7,74.8,10,6,9,95
Maharashtra,District B,30.3,128.3,70.8,5,10,8,95
Uttar Pradesh,District D,29.9,179.4,64.9,10,8,8,95
Bihar,District A,28.1,185.8,85,5,5,9,95
Andhra Pradesh,District C,23.2,137.8,68.5,9,10,7,95
Uttar Pradesh,District A,35.6,85.9,67.2,9,6,5,95
Bihar,District D,35.2,91.8,70.8,5,5,9,95
Bihar,District D,30.6,132.8,75.3,10,5,6,95
Uttar Pradesh,District C,31.5,134.9,83.1,9,8,5,95
Punjab,District A,27.8,155.2,60.9,10,10,6,95
Karnataka,District A,29.4,90.8,70.7,7,9,6,95
Uttar Pradesh,District E,29.1,81.4,60.9,5,9,6,95
Andhra Pradesh,District E,27.2,95.2,79.4,9,9,7,95
Haryana,District D,35.5,162,76.3,5,10,7,95
Punjab,District B,21.6,154,67.4,7,9,7,95
Maharashtra,District B,31.9,149.5,80.6,5,7,9,95
Uttar Pradesh,District D,23.2,85.2,72.4,6,10,10,95
Uttar Pradesh,District D,27.8,106.4,74.2,9,7,5,95
Punjab,District A,29.6,153.7,82.1,7,9,6,95
Bihar,District C,25,160.1,65.8,6,7,7,95
Haryana,District B,28,132.5,74.4,8,5,7,95
Maharashtra,District C,31.6,123.3,72.7,10,5,10,95
Punjab,District D,20.9,148.9,63.6,5,9,7,95
Haryana,District A,33,114.4,69.4,7,8,5,95
Haryana,District C,21.2,187.4,68.2,7,8,10,95
Haryana,District D,22.6,169.1,84.9,6,5,5,94.6
Tamil Nadu,District D,24.1,93.5,84.2,10,7,10,95
Bihar,District A,29.7,84.6,84.4,6,8,5,95
Haryana,District B,22.1,131.5,70.1,5,6,9,95
Bihar,District E,27.7,120,64.3,9,10,6,95
Karnataka,District B,27.5,81.1,77.9,5,5,7,95
West Bengal,District D,21,109.2,72,8,5,7,95
West Bengal,District B,27.3,178.3,68.2,6,9,7,95
Uttar Pradesh,District C,35.9,167.3,70.7,5,6,9,95
Maharashtra,District B,25.5,142.7,63.2,5,6,8,95
Haryana,District D,23.2,173.3,71.3,5,5,5,95
Karnataka,District A,28.2,151.4,84.3,8,10,10,95
Punjab,District B,27.6,113.2,64,7,8,6,95
Bihar,District E,27.4,123.9,63.5,6,8,7,95
Karnataka,District D,22.6,187.4,74.3,5,9,7,95
Maharashtra,District B,31.1,159.6,78.3,6,10,5,95
Maharashtra,District A,24.4,193,69.9,7,7,9,95
Bihar,District C,33,140.3,67.9,8,7,6,95
West Bengal,District C,25.2,156.1,80.6,6,6,6,95
Uttar Pradesh,District B,28.2,180.7,82.5,10,9,8,95
Andhra Pradesh,District A,23.3,161.3,60.7,10,10,10,95
Karnataka,District B,29.8,144.6,65.1,6,7,9,95
Haryana,District D,21.7,93.8,84.3,9,5,10,95
Bihar,District E,35.9,177.8,67.2,8,6,6,95
West Bengal,District C,22.5,164.2,79.1,9,9,6,95
Haryana,District E,25.6,197.8,71.9,10,8,10,95
Karnataka,District A,28.4,122.3,67.7,9,9,7,95
Uttar Pradesh,District A,29.8,141.8,83.8,5,6,9,95
Tamil Nadu,District C,35.4,93.4,62.5,5,6,6,95
Andhra Pradesh,District C,28.5,158.5,64.7,8,7,7,95
Uttar Pradesh,District E,35.6,172.6,79.5,9,7,5,95
